fighter,event_url
Michal Oleksiejczuk,http://ufcstats.com/event-details/8f6a18831a120817
Bryan Battle,http://ufcstats.com/event-details/8f6a18831a120817
Cory McKenna,http://ufcstats.com/event-details/8f6a18831a120817
Amanda Nunes,http://ufcstats.com/event-details/b0a6124751a56bc4
Brandon Moreno,http://ufcstats.com/event-details/b0a6124751a56bc4
Sergei Pavlovich,http://ufcstats.com/event-details/b0a6124751a56bc4
Alexandre Pantoja,http://ufcstats.com/event-details/b0a6124751a56bc4
Magomed Ankalaev,http://ufcstats.com/event-details/b0a6124751a56bc4
Alex Morono,http://ufcstats.com/event-details/b0a6124751a56bc4
Drew Dober,http://ufcstats.com/event-details/b0a6124751a56bc4
Don'Tale Mayes,http://ufcstats.com/event-details/b0a6124751a56bc4
Drakkar Klose,http://ufcstats.com/event-details/b0a6124751a56bc4
Michael Morales,http://ufcstats.com/event-details/b0a6124751a56bc4
Joselyne Edwards,http://ufcstats.com/event-details/b0a6124751a56bc4
Nicolae Negumereanu,http://ufcstats.com/event-details/b0a6124751a56bc4
Curtis Blaydes,http://ufcstats.com/event-details/319c15b8aac5bfde
Jack Hermansson,http://ufcstats.com/event-details/319c15b8aac5bfde
Paddy Pimblett,http://ufcstats.com/event-details/319c15b8aac5bfde
Nikita Krylov,http://ufcstats.com/event-details/319c15b8aac5bfde
Molly McCann,http://ufcstats.com/event-details/319c15b8aac5bfde
Volkan Oezdemir,http://ufcstats.com/event-details/319c15b8aac5bfde
Ludovit Klein,http://ufcstats.com/event-details/319c15b8aac5bfde
Marc Diakiese,http://ufcstats.com/event-details/319c15b8aac5bfde
Nathaniel Wood,http://ufcstats.com/event-details/319c15b8aac5bfde
Jonathan Pearce,http://ufcstats.com/event-details/319c15b8aac5bfde
Muhammad Mokaev,http://ufcstats.com/event-details/319c15b8aac5bfde
Jai Herbert,http://ufcstats.com/event-details/319c15b8aac5bfde
Victoria Leonardo,http://ufcstats.com/event-details/319c15b8aac5bfde
Yair Rodriguez,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Amanda Lemos,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Li Jingliang,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Matt Schnell,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Shane Burgos,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Lauren Murphy,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Punahele Soriano,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Ricky Simon,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Bill Algeo,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Dustin Jacoby,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Dustin Stoltzfus,http://ufcstats.com/event-details/8fd76e1b49c00ae2
Rafael Fiziev,http://ufcstats.com/event-details/31da66df48c0c1a0
Caio Borralho,http://ufcstats.com/event-details/31da66df48c0c1a0
Said Nurmagomedov,http://ufcstats.com/event-details/31da66df48c0c1a0
Chase Sherman,http://ufcstats.com/event-details/31da66df48c0c1a0
Aiemann Zahabi,http://ufcstats.com/event-details/31da66df48c0c1a0
Jamie Mullarkey,http://ufcstats.com/event-details/31da66df48c0c1a0
Cody Brundage,http://ufcstats.com/event-details/31da66df48c0c1a0
Antonina Shevchenko,http://ufcstats.com/event-details/31da66df48c0c1a0
David Onama,http://ufcstats.com/event-details/31da66df48c0c1a0
Kennedy Nzechukwu,http://ufcstats.com/event-details/31da66df48c0c1a0
Israel Adesanya,http://ufcstats.com/event-details/4a9e305633f3ef47
Alexander Volkanovski,http://ufcstats.com/event-details/4a9e305633f3ef47
Alex Pereira,http://ufcstats.com/event-details/4a9e305633f3ef47
Bryan Barberena,http://ufcstats.com/event-details/4a9e305633f3ef47
Pedro Munhoz,http://ufcstats.com/event-details/4a9e305633f3ef47
Jalin Turner,http://ufcstats.com/event-details/4a9e305633f3ef47
Jim Miller,http://ufcstats.com/event-details/4a9e305633f3ef47
Ian Garry,http://ufcstats.com/event-details/4a9e305633f3ef47
Dricus Du Plessis,http://ufcstats.com/event-details/4a9e305633f3ef47
Andre Muniz,http://ufcstats.com/event-details/4a9e305633f3ef47
Maycee Barber,http://ufcstats.com/event-details/4a9e305633f3ef47
Mateusz Gamrot,http://ufcstats.com/event-details/eb42d4febfafefd1
Shavkat Rakhmonov,http://ufcstats.com/event-details/eb42d4febfafefd1
Josh Parisian,http://ufcstats.com/event-details/eb42d4febfafefd1
Thiago Moises,http://ufcstats.com/event-details/eb42d4febfafefd1
Umar Nurmagomedov,http://ufcstats.com/event-details/eb42d4febfafefd1
Chris Curtis,http://ufcstats.com/event-details/eb42d4febfafefd1
Carlos Ulberg,http://ufcstats.com/event-details/eb42d4febfafefd1
Shayilan Nuerdanbieke,http://ufcstats.com/event-details/eb42d4febfafefd1
Sergey Morozov,http://ufcstats.com/event-details/eb42d4febfafefd1
Cody Durden,http://ufcstats.com/event-details/eb42d4febfafefd1
Mario Bautista,http://ufcstats.com/event-details/eb42d4febfafefd1
Josh Emmett,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Kevin Holland,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Joaquin Buckley,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Damir Ismagulov,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Gregory Rodrigues,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Adrian Yanez,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Natalia Silva,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Jeremiah Wells,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Ricardo Ramos,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Maria Oliveira,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Cody Stamann,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Phil Hawes,http://ufcstats.com/event-details/a0a680fe2f6cc8e6
Jiri Prochazka,http://ufcstats.com/event-details/3a24769a4855040a
Valentina Shevchenko,http://ufcstats.com/event-details/3a24769a4855040a
Zhang Weili,http://ufcstats.com/event-details/3a24769a4855040a
Jake Matthews,http://ufcstats.com/event-details/3a24769a4855040a
Jack Della Maddalena,http://ufcstats.com/event-details/3a24769a4855040a
Josh Culibao,http://ufcstats.com/event-details/3a24769a4855040a
Maheshate,http://ufcstats.com/event-details/3a24769a4855040a
Brendan Allen,http://ufcstats.com/event-details/3a24769a4855040a
